horas_pantalla_diaria,frecuencia_doomscrolling,revisiones_notificaciones_dia,exposicion_recomendaciones_ia,intentos_desintoxicacion,grupo_edad_enc,genero_enc,plataforma_enc,pais_enc,perdida_productividad_pct
5.05,6.66,131,13.25,5,2,2,2,1,67.43
0.7,5.13,238,79.36,9,0,1,4,2,67.32
3.22,8.75,52,79.63,7,3,0,3,1,14.91
7.34,3.35,247,44.47,13,2,1,0,3,2.43
2.11,2.38,10,92.96,11,2,0,1,4,9.16
11.27,6.14,330,75.88,11,1,2,4,0,37.93
6.05,9.22,94,67.83,3,1,0,1,2,58.66
7.67,1.02,275,85.38,11,0,0,2,1,31.44
0.76,2.2,42,34.14,6,0,1,2,1,64.71
8.57,5.72,341,68.42,6,3,0,2,3,9.44
6.93,7.44,28,6.88,2,1,1,1,3,59.68
8.26,6.47,92,61.38,5,3,0,2,3,29.06
8.61,3.42,28,70.84,11,1,1,0,2,66.22
10.06,4.62,110,62.76,12,0,2,1,1,50.28
7.79,2.47,342,4.86,6,3,1,1,1,19.09
1.47,6.72,219,65.82,1,0,1,0,2,45.88
11.93,3.75,177,64.07,0,1,2,0,1,33.77
3.06,1.88,35,67.72,13,0,2,2,3,19.96
5.04,9.7,344,98.87,8,1,0,0,3,54.65
4.3,2.49,220,55.68,9,3,0,0,3,34.77
11.62,3.01,87,71.84,4,4,2,3,1,11.04
2.13,8.62,186,55.16,14,0,2,4,1,5.59
9.32,7.86,318,29.68,8,2,1,0,0,1.55
2.67,4.56,312,18.05,8,0,2,3,1,20.15
5.57,5.46,195,21.12,6,0,2,0,1,49.32
12.28,9.36,255,52.25,14,2,1,0,2,43.8
0.64,4.7,348,15.67,9,4,0,1,2,13.08
0.76,3.26,274,63.66,8,0,2,2,3,3.62
7.91,5.88,75,71.79,0,4,0,1,4,11.96
6.54,2.08,169,73.09,9,3,2,0,1,40.53
5.44,3.7,317,50.64,11,3,1,2,1,30.79
9.67,8.77,227,83.78,5,4,1,1,0,68.42
2.37,9.02,316,80.83,5,0,1,0,2,50.28
9.14,2.93,309,36.4,6,1,1,2,4,17.9
9.94,2.48,269,42.97,2,2,0,3,3,1.91
12.61,4.84,199,2.31,13,0,1,0,2,34.74
11.2,6.37,272,99.63,4,4,2,4,1,28.25
10.49,4.59,220,96.63,14,1,2,4,4,21.79
12.11,5.23,186,98.55,6,0,0,0,2,0.12
13.42,2.65,204,47.19,14,0,1,2,2,37.9
7.61,7.07,216,73.4,12,0,2,0,3,18.08
6.24,3.76,285,46.78,7,2,2,0,0,4.94
13.41,6.3,100,17.8,13,2,2,4,3,18.78
10.03,5.8,200,81.44,3,0,1,3,2,10.33
8.99,0.23,55,54.28,14,4,1,0,0,67.99
2.73,1.69,168,1.42,5,0,0,3,4,5.31
8.3,2.78,158,12.0,13,3,0,0,2,57.57
10.99,8.45,209,40.78,6,4,2,0,1,58.72
11.45,9.07,194,54.62,5,1,0,4,1,9.16
8.46,7.58,113,41.72,11,4,1,4,4,67.99
11.92,0.81,332,55.07,4,4,2,1,1,47.5
5.25,3.07,40,39.44,0,1,1,0,3,8.21
12.58,5.21,322,61.96,0,2,2,3,0,17.21
7.89,5.5,113,61.27,6,1,1,0,1,37.05
12.7,6.97,79,88.0,3,4,1,2,0,25.21
8.24,7.99,36,82.51,5,2,2,3,0,36.23
2.39,2.74,67,30.23,7,0,1,3,2,22.01
9.93,2.26,180,55.05,1,4,2,3,2,28.66
12.84,8.3,153,28.09,2,2,2,0,3,48.33
10.52,8.53,280,83.09,2,0,1,1,1,51.33
1.86,9.24,337,40.16,1,2,1,2,0,25.17
2.45,2.86,215,92.75,7,3,1,2,0,62.92
2.54,1.72,243,61.49,4,4,2,1,1,43.24
4.27,6.8,76,98.85,11,0,0,0,4,44.65
11.41,4.52,243,66.01,2,4,0,0,3,44.98
10.58,4.17,22,69.68,1,2,0,4,0,69.99
1.08,0.95,306,16.65,13,1,1,0,3,11.06
12.33,6.67,110,76.46,2,2,2,1,2,68.07
1.71,8.65,336,5.51,9,4,0,4,1,37.77
6.66,7.57,142,2.87,7,4,2,1,1,3.17
12.21,7.33,304,44.91,3,0,2,2,2,18.01
12.72,0.82,141,74.33,9,1,0,1,4,16.78
1.84,1.99,304,3.53,0,2,1,0,1,0.25
9.81,2.8,335,42.29,5,3,0,4,4,52.2
3.56,5.04,226,58.76,4,1,0,0,4,20.76
4.03,8.5,171,84.5,11,2,1,4,4,65.22
2.2,7.7,255,46.94,3,4,0,0,2,65.97
5.83,6.27,249,8.12,10,1,0,3,0,6.73
1.38,4.32,44,95.86,8,1,0,0,4,10.6
8.38,2.57,109,87.84,5,2,1,2,3,36.33
5.68,3.72,220,94.97,0,2,2,4,4,5.43
4.39,1.2,59,98.05,4,4,2,0,4,5.19
12.38,2.18,305,31.62,7,1,0,0,1,8.78
2.45,6.83,26,80.37,6,1,2,2,3,26.81
2.79,4.13,55,22.05,3,3,1,4,1,25.73
5.27,9.76,335,19.67,4,4,2,2,2,57.05
9.79,3.84,293,57.34,1,0,1,1,3,7.63
13.0,7.73,138,14.88,11,2,2,0,3,8.24
9.61,8.31,132,91.69,14,0,1,2,2,41.04
11.73,0.76,71,67.04,14,2,0,4,1,0.94
0.72,2.82,204,84.26,4,3,0,1,3,27.38
7.85,7.95,308,88.1,12,0,2,4,1,61.11
4.64,3.86,208,22.91,7,1,1,1,0,60.91
5.83,9.05,314,86.88,11,1,0,4,4,17.94
10.97,9.62,343,72.68,11,2,1,2,2,67.03
7.92,0.62,139,61.02,9,2,0,1,3,68.68
7.65,8.56,157,21.49,3,2,1,2,0,9.31
2.7,2.0,280,50.72,6,3,1,0,2,28.02
12.17,0.0,206,3.45,9,2,2,3,0,17.42
8.72,6.11,316,16.18,2,0,1,1,0,19.66
3.48,8.13,229,16.02,8,4,1,3,0,54.15
5.82,4.18,302,94.09,5,2,2,3,0,5.41
11.95,1.63,68,53.87,5,0,2,2,3,61.24
2.83,0.83,332,43.41,9,1,0,1,2,16.43
4.29,3.38,317,11.61,14,1,1,2,1,13.41
